throughput, loss, CPU host, CPU remote, streams, country, connection, client, IP, time, streams, verbose, json,,,
0.8,0.128176,0.1202,8.2689,0.1646,1,Indonesia,Wireless,'-c,'iperf.biznetnetworks.com,'-t10,'-P1,'-V,'-J,'-O-O,
0.62,0.100664,0.1227,2.2926,0.0006,1,Indonesia,Wireless,'-c,'134.209.227.237,'-t10,'-P1,'-V,'-J,'-O-O,
6.38,0.186312,0.0456,2.8383,0.0185,1,Indonesia,Wireless,'-c,'134.209.227.237,'-t5,'-P1,'-V,'-J,'-O-O,
11.41,0.771784,0.1026,5.7598,0.1012,1,Indonesia,Wireless,'-c,'134.209.227.237,'-t5,'-P1,'-V,'-J,'-O-O,'-logfilehala.txt12.20,0.194424,0.0064,1.6417,0.3486,1,Indonesia,Wireless,'-c,'134.209.227.237,'-t20,'-P1,'-V,'-J,'-O-O
19.64,1.009796,0.0204,3.5635,4.7005,10,Indonesia,Wireless,'-c,'134.209.227.237,'-t20,'-P10,'-V,'-J,'-O-O
17.96,1.079040,0.0237,3.2934,0.7167,1,Indonesia,Wireless,'-c,'134.209.227.237,'-t20,'-P10,'-V,'-J,'-O-O
21.45,2.210208,0.0404,5.1886,5.5679,1,Indonesia,Wireless,'-c,'134.209.227.237,'-t20,'-P20,'-V,'-J,'-O-O
25.70,4.652396,0.0699,8.0011,7.1728,1,Indonesia,Wireless,'-c,'134.209.227.237,'-t20,'-P40,'-V,'-J,'-O-O
36.69,23.945380,0.2308,11.0568,10.2417,1,Indonesia,Wireless,'-c,'134.209.227.237,'-t20,'-P80,'-V,'-J,'-O-O
13.03,0.173936,0.0053,1.7816,0.2645,1,Germany,Wireless,'-c,'134.209.227.237,'-t20,'-P1,'-V,'-J,'-O-O
40.88,12.977396,0.1194,14.2851,12.1473,1,Germany,Wireless,'-c,'134.209.227.237,'-t20,'-P100,'-V,'-J,'-O-O
42.42,16.539144,0.1447,15.7183,12.9761,1,Germany,Wireless,'-c,'134.209.227.237,'-t20,'-P120,'-V,'-J,'-O-O
11.10,1.525504,0.0535,1.6748,0.1400,1,Germany,Wireless,'-c,'134.209.227.237,'-t20,'-P1,'-V,'-J,'-O-O
16.39,12.564092,0.2658,6.2170,4.7226,1,Germany,Wireless,'-c,'134.209.227.237,'-t20,'-P100,'-V,'-J,'-O-O
17.34,14.399760,0.2848,6.5319,5.5434,1,Germany,Wireless,'-c,'134.209.227.237,'-t20,'-P120,'-V,'-J,'-O-O
13.63,1.347144,0.0388,2.7860,3.7184,1,Germany,Wireless,'-c,'134.209.227.237,'-t20,'-P10,'-V,'-J,'-O-O
14.86,3.496268,0.0899,3.7247,3.9125,1,Germany,Wireless,'-c,'134.209.227.237,'-t20,'-P20,'-V,'-J,'-O-O
13.96,5.133608,0.1370,4.2596,4.0635,1,Germany,Wireless,'-c,'134.209.227.237,'-t20,'-P40,'-V,'-J,'-O-O
14.18,11.033660,0.2693,5.2560,4.0347,1,Germany,Wireless,'-c,'134.209.227.237,'-t20,'-P80,'-V,'-J,'-O-O
0.41,0.002776,0.0027,1.9917,0.0051,1,Germany,Wireless,'-c,'134.209.227.237,'-t20,'-P1,'-V,'-J,'-O-O,'-w10000
0.87,0.002776,0.0013,1.4358,0.3141,1,Germany,Wireless,'-c,'134.209.227.237,'-t20,'-P1,'-V,'-J,'-O-O,'-w20000
1.38,0.002776,0.0008,2.1533,0.4376,1,Germany,Wireless,'-c,'134.209.227.237,'-t20,'-P1,'-V,'-J,'-O-O,'-w30000
1.89,0.002776,0.0006,1.5538,0.6046,1,Germany,Wireless,'-c,'134.209.227.237,'-t20,'-P1,'-V,'-J,'-O-O,'-w40000
2.08,0.004164,0.0008,1.3342,0.6238,1,Germany,Wireless,'-c,'134.209.227.237,'-t20,'-P1,'-V,'-J,'-O-O,'-w50000
2.83,0.061072,0.0086,2.1172,0.9509,1,Germany,Wireless,'-c,'134.209.227.237,'-t20,'-P1,'-V,'-J,'-O-O,'-w60000
2.93,0.002776,0.0004,2.8559,0.8844,1,Germany,Wireless,'-c,'134.209.227.237,'-t20,'-P1,'-V,'-J,'-O-O,'-w70000
3.64,0.002776,0.0003,1.5867,1.1354,1,Germany,Wireless,'-c,'134.209.227.237,'-t20,'-P1,'-V,'-J,'-O-O,'-w80000
